"","county","state","fips","indigenous","pct.indigenous","pop","forest.area","land.water","pct.forest","year","pay.forest","employee","pay.total","total.employ","pct.pay","pct.employ"
"1","Autauga","Alabama",1001,191,0.35,55200,"304,366","386,648",78.72,2019,4179,79,373865,11397,1.12,0.69
"2","Baldwin","Alabama",1003,1531,0.74,208107,"725,005","1,049,828",69.06,2019,20717,477,2212640,64354,0.94,0.74
"3","Barbour","Alabama",1005,73,0.28,25782,"431,171","578,883",74.48,2019,17293,424,248131,6980,6.97,6.07
"4","Bibb","Alabama",1007,8,0.04,22527,"320,525","400,757",79.98,2019,12243,321,145171,3519,8.43,9.12
"5","Blount","Alabama",1009,159,0.28,57645,"230,967","416,405",55.47,2019,0,0,0,0,0,0
"6","Bullock","Alabama",1011,122,1.18,10352,"328,223","400,041",82.05,2019,2188,48,67073,2070,3.26,2.32
"7","Butler","Alabama",1013,2,0.01,20025,"411,366","497,853",82.63,2019,29048,562,202211,6175,14.37,9.1
"8","Calhoun","Alabama",1015,362,0.31,115098,"202,334","391,918",51.63,2019,17186,361,1287679,36341,1.33,0.99
"9","Chambers","Alabama",1017,97,0.29,33826,"311,053","385,974",80.59,2019,22146,430,242236,6914,9.14,6.22
"10","Cherokee","Alabama",1019,236,0.91,25853,"256,677","384,051",66.83,2019,2314,50,130600,4413,1.77,1.13
"11","Chilton","Alabama",1021,123,0.28,43930,"330,802","448,530",73.75,2019,25477,509,282943,7861,9,6.48
"12","Choctaw","Alabama",1023,9,0.07,13075,"535,446","589,381",90.85,2019,13335,254,153403,2972,8.69,8.55
"13","Clarke","Alabama",1025,25,0.1,24387,"740,002","801,530",92.32,2019,52169,1132,231212,6380,22.56,17.74
"14","Clay","Alabama",1027,155,1.16,13378,"309,550","387,796",79.82,2019,2167,74,120995,3601,1.79,2.05
"15","Cleburne","Alabama",1029,39,0.26,14938,"264,297","359,040",73.61,2019,1002,24,67228,1681,1.49,1.43
"16","Coffee","Alabama",1031,617,1.2,51288,"246,891","435,504",56.69,2019,809,20,463492,13217,0.17,0.15
"17","Colbert","Alabama",1033,396,0.73,54495,"228,232","398,264",57.31,2019,17612,395,927774,23654,1.9,1.67
"18","Conecuh","Alabama",1035,56,0.45,12514,"445,922","545,742",81.71,2019,17203,346,91508,2717,18.8,12.73
"19","Coosa","Alabama",1037,9,0.08,10855,"376,730","426,485",88.33,2019,1518,33,41263,1059,3.68,3.12
"20","Covington","Alabama",1039,71,0.19,37351,"494,969","668,025",74.09,2019,1766,36,363316,10270,0.49,0.35
"21","Crenshaw","Alabama",1041,109,0.79,13865,"318,502","390,972",81.46,2019,5743,125,115202,3070,4.99,4.07
"22","Cullman","Alabama",1043,351,0.43,82313,"241,118","483,137",49.91,2019,46763,863,912638,24938,5.12,3.46
"23","Dale","Alabama",1045,381,0.77,49255,"259,346","360,136",72.01,2019,2798,70,557346,11045,0.5,0.63
"24","Dallas","Alabama",1047,33,0.08,40029,"433,523","635,989",68.17,2019,9437,277,367558,9501,2.57,2.92
"25","DeKalb","Alabama",1049,1555,2.18,71200,"184,417","498,316",37.01,2019,1396,48,673121,18286,0.21,0.26
"26","Elmore","Alabama",1051,209,0.26,81212,"238,474","420,621",56.7,2019,4573,92,514445,14980,0.89,0.61
"27","Escambia","Alabama",1053,1509,4.04,37328,"474,358","610,013",77.76,2019,30671,622,361756,10173,8.48,6.11
"28","Etowah","Alabama",1055,817,0.79,102939,"187,315","351,181",53.34,2019,841,34,1044124,30301,0.08,0.11
"29","Fayette","Alabama",1057,6,0.04,16585,"337,022","402,777",83.67,2019,13362,339,108339,3183,12.33,10.65
"30","Franklin","Alabama",1059,488,1.55,31542,"298,122","413,766",72.05,2019,31981,756,369361,10652,8.66,7.1
"31","Geneva","Alabama",1061,214,0.81,26491,"198,641","370,570",53.6,2019,0,0,0,0,0,0
"32","Greene","Alabama",1063,48,0.57,8426,"337,359","422,413",79.86,2019,684,15,44991,1379,1.52,1.09
"33","Hale","Alabama",1065,29,0.19,14887,"282,768","420,130",67.3,2019,27220,453,75519,1982,36.04,22.86
