STATEFP,COUNTYFP,state_abb,state,county,pct.forest,pct.employees,pct.earnings,pct.indigenous,nonmetro,rural
1,1,AL,Alabama,Autauga,78.72,0.69,1.12,0.35,0,0
1,3,AL,Alabama,Baldwin,69.06,0.74,0.94,0.74,0,0
1,5,AL,Alabama,Barbour,74.48,6.07,6.97,0.28,1,0
1,7,AL,Alabama,Bibb,79.98,9.12,8.43,0.04,0,0
1,9,AL,Alabama,Blount,55.47,0,0,0.28,0,0
1,11,AL,Alabama,Bullock,82.05,2.32,3.26,1.18,1,0
1,13,AL,Alabama,Butler,82.63,9.1,14.37,0.01,1,0
1,15,AL,Alabama,Calhoun,51.63,0.99,1.33,0.31,0,0
1,17,AL,Alabama,Chambers,80.59,6.22,9.14,0.29,1,0
1,19,AL,Alabama,Cherokee,66.83,1.13,1.77,0.91,1,0
1,21,AL,Alabama,Chilton,73.75,6.48,9,0.28,0,0
1,23,AL,Alabama,Choctaw,90.85,8.55,8.69,0.07,1,1
1,25,AL,Alabama,Clarke,92.32,17.74,22.56,0.1,1,0
1,27,AL,Alabama,Clay,79.82,2.05,1.79,1.16,1,1
1,29,AL,Alabama,Cleburne,73.61,1.43,1.49,0.26,1,1
1,31,AL,Alabama,Coffee,56.69,0.15,0.17,1.2,1,0
1,33,AL,Alabama,Colbert,57.31,1.67,1.9,0.73,0,0
1,35,AL,Alabama,Conecuh,81.71,12.73,18.8,0.45,1,0
1,37,AL,Alabama,Coosa,88.33,3.12,3.68,0.08,1,1
1,39,AL,Alabama,Covington,74.09,0.35,0.49,0.19,1,0
1,41,AL,Alabama,Crenshaw,81.46,4.07,4.99,0.79,1,1
1,43,AL,Alabama,Cullman,49.91,3.46,5.12,0.43,1,0
1,45,AL,Alabama,Dale,72.01,0.63,0.5,0.77,1,0
1,47,AL,Alabama,Dallas,68.17,2.92,2.57,0.08,1,0
1,49,AL,Alabama,DeKalb,37.01,0.26,0.21,2.18,1,0
1,51,AL,Alabama,Elmore,56.7,0.61,0.89,0.26,0,0
1,53,AL,Alabama,Escambia,77.76,6.11,8.48,4.04,1,0
1,55,AL,Alabama,Etowah,53.34,0.11,0.08,0.79,0,0
1,57,AL,Alabama,Fayette,83.67,10.65,12.33,0.04,1,0
1,59,AL,Alabama,Franklin,72.05,7.1,8.66,1.55,1,0
1,61,AL,Alabama,Geneva,53.6,0,0,0.81,0,0
1,63,AL,Alabama,Greene,79.86,1.09,1.52,0.57,1,1
1,65,AL,Alabama,Hale,67.3,22.86,36.04,0.19,0,0
1,67,AL,Alabama,Henry,73.69,2.6,1.16,0.02,0,0
1,69,AL,Alabama,Houston,47.17,0.03,0.02,0.31,0,0
1,71,AL,Alabama,Jackson,62.11,1.63,2.26,1.33,1,0
1,73,AL,Alabama,Jefferson,54.83,0.13,0.1,0.27,0,0
1,75,AL,Alabama,Lamar,87.51,10,11.7,0,1,1
1,77,AL,Alabama,Lauderdale,39.73,0.79,1.24,0.52,0,0
1,79,AL,Alabama,Lawrence,49,0,0,5.73,0,0
1,81,AL,Alabama,Lee,64.11,0.38,0.55,0.15,0,0
1,83,AL,Alabama,Limestone,26.63,0.1,0.09,0.94,0,0
1,85,AL,Alabama,Lowndes,67.81,0.64,0.63,0.13,0,0
1,87,AL,Alabama,Macon,84.16,0,0,0.33,1,0
1,89,AL,Alabama,Madison,39.99,0.27,0.25,0.64,0,0
1,91,AL,Alabama,Marengo,76.3,8.11,9.35,0.26,1,0
1,93,AL,Alabama,Marion,77.66,13.4,14.46,0.41,1,0
1,95,AL,Alabama,Marshall,38.39,1.39,2.02,0.46,1,0
1,97,AL,Alabama,Mobile,61.58,1.09,1.55,0.72,0,0
1,99,AL,Alabama,Monroe,86.37,14.87,17.85,1.61,1,0
1,101,AL,Alabama,Montgomery,49.83,0.44,0.43,0.21,0,0
1,103,AL,Alabama,Morgan,49.52,1.2,1.06,0.66,0,0
1,105,AL,Alabama,Perry,74.27,0,0,0.06,1,1
1,107,AL,Alabama,Pickens,84.51,22.25,24.22,0.16,0,0
1,109,AL,Alabama,Pike,71.59,0.59,0.63,0.63,1,0
1,111,AL,Alabama,Randolph,75.33,1.32,1.71,0.45,1,0
1,113,AL,Alabama,Russell,75.95,2.61,3.53,0.41,0,0
1,115,AL,Alabama,St. Clair,73.99,0.08,0.06,0.37,0,0
1,117,AL,Alabama,Shelby,65.69,0.29,0.26,0.24,0,0
1,119,AL,Alabama,Sumter,77.78,1.41,1.17,0.06,1,1
1,121,AL,Alabama,Talladega,62.38,0.23,0.66,0.46,1,0
1,123,AL,Alabama,Tallapoosa,80.4,0.55,0.89,0.32,1,0
1,125,AL,Alabama,Tuscaloosa,80.73,1.46,1.44,0.23,0,0
1,127,AL,Alabama,Walker,75.36,2.85,3.57,0.17,0,0
1,129,AL,Alabama,Washington,89.75,3.71,2.05,7.37,1,1
1,131,AL,Alabama,Wilcox,86.65,7.33,5.3,0.2,1,1
1,133,AL,Alabama,Winston,77.47,29.84,29.71,0.43,1,0
2,13,AK,Alaska,Aleutians East Borough,0.7,0,0,40.12,1,1
2,16,AK,Alaska,Aleutians West Census Area,0,0,0,13.9,1,1
2,20,AK,Alaska,Anchorage Municipality,14.9,0.19,0.14,9.71,0,0
2,50,AK,Alaska,Bethel Census Area,18.7,0,0,82.76,1,0
2,60,AK,Alaska,Bristol Bay Borough,5,0,0,32.92,1,1
2,68,AK,Alaska,Denali Borough,23,0,0,1.97,1,1
