"","county","state","fips","forest.area","land.water","pct.forest","year"
"1","Autauga","Alabama",1001,"304,366","386,648",78.72,2019
"2","Baldwin","Alabama",1003,"725,005","1,049,828",69.06,2019
"3","Barbour","Alabama",1005,"431,171","578,883",74.48,2019
"4","Bibb","Alabama",1007,"320,525","400,757",79.98,2019
"5","Blount","Alabama",1009,"230,967","416,405",55.47,2019
"6","Bullock","Alabama",1011,"328,223","400,041",82.05,2019
"7","Butler","Alabama",1013,"411,366","497,853",82.63,2019
"8","Calhoun","Alabama",1015,"202,334","391,918",51.63,2019
"9","Chambers","Alabama",1017,"311,053","385,974",80.59,2019
"10","Cherokee","Alabama",1019,"256,677","384,051",66.83,2019
"11","Chilton","Alabama",1021,"330,802","448,530",73.75,2019
"12","Choctaw","Alabama",1023,"535,446","589,381",90.85,2019
"13","Clarke","Alabama",1025,"740,002","801,530",92.32,2019
"14","Clay","Alabama",1027,"309,550","387,796",79.82,2019
"15","Cleburne","Alabama",1029,"264,297","359,040",73.61,2019
"16","Coffee","Alabama",1031,"246,891","435,504",56.69,2019
"17","Colbert","Alabama",1033,"228,232","398,264",57.31,2019
"18","Conecuh","Alabama",1035,"445,922","545,742",81.71,2019
"19","Coosa","Alabama",1037,"376,730","426,485",88.33,2019
"20","Covington","Alabama",1039,"494,969","668,025",74.09,2019
"21","Crenshaw","Alabama",1041,"318,502","390,972",81.46,2019
"22","Cullman","Alabama",1043,"241,118","483,137",49.91,2019
"23","Dale","Alabama",1045,"259,346","360,136",72.01,2019
"24","Dallas","Alabama",1047,"433,523","635,989",68.17,2019
"25","DeKalb","Alabama",1049,"184,417","498,316",37.01,2019
"26","Elmore","Alabama",1051,"238,474","420,621",56.7,2019
"27","Escambia","Alabama",1053,"474,358","610,013",77.76,2019
"28","Etowah","Alabama",1055,"187,315","351,181",53.34,2019
"29","Fayette","Alabama",1057,"337,022","402,777",83.67,2019
"30","Franklin","Alabama",1059,"298,122","413,766",72.05,2019
"31","Geneva","Alabama",1061,"198,641","370,570",53.6,2019
"32","Greene","Alabama",1063,"337,359","422,413",79.86,2019
"33","Hale","Alabama",1065,"282,768","420,130",67.3,2019
"34","Henry","Alabama",1067,"268,031","363,732",73.69,2019
"35","Houston","Alabama",1069,"175,546","372,164",47.17,2019
"36","Jackson","Alabama",1071,"447,913","721,162",62.11,2019
"37","Jefferson","Alabama",1073,"394,363","719,283",54.83,2019
"38","Lamar","Alabama",1075,"339,085","387,489",87.51,2019
"39","Lauderdale","Alabama",1077,"183,205","461,128",39.73,2019
"40","Lawrence","Alabama",1079,"224,949","459,054",49,2019
"41","Lee","Alabama",1081,"252,768","394,280",64.11,2019
"42","Limestone","Alabama",1083,"103,527","388,788",26.63,2019
"43","Lowndes","Alabama",1085,"314,640","463,970",67.81,2019
"44","Macon","Alabama",1087,"330,346","392,503",84.16,2019
"45","Madison","Alabama",1089,"207,989","520,116",39.99,2019
"46","Marengo","Alabama",1091,"479,943","629,011",76.3,2019
"47","Marion","Alabama",1093,"369,562","475,872",77.66,2019
"48","Marshall","Alabama",1095,"153,131","398,874",38.39,2019
"49","Mobile","Alabama",1097,"496,837","806,812",61.58,2019
"50","Monroe","Alabama",1099,"571,745","661,995",86.37,2019
"51","Montgomery","Alabama",1101,"255,096","511,915",49.83,2019
"52","Morgan","Alabama",1103,"189,847","383,380",49.52,2019
"53","Perry","Alabama",1105,"344,163","463,384",74.27,2019
"54","Pickens","Alabama",1107,"481,383","569,627",84.51,2019
"55","Pike","Alabama",1109,"308,426","430,806",71.59,2019
"56","Randolph","Alabama",1111,"281,638","373,871",75.33,2019
"57","Russell","Alabama",1113,"314,485","414,085",75.95,2019
"58","St. Clair","Alabama",1115,"309,412","418,197",73.99,2019
"59","Shelby","Alabama",1117,"340,294","518,059",65.69,2019
"60","Sumter","Alabama",1119,"454,678","584,537",77.78,2019
"61","Talladega","Alabama",1121,"303,585","486,651",62.38,2019
"62","Tallapoosa","Alabama",1123,"394,264","490,382",80.4,2019
"63","Tuscaloosa","Alabama",1125,"698,126","864,743",80.73,2019
"64","Walker","Alabama",1127,"388,399","515,401",75.36,2019
"65","Washington","Alabama",1129,"625,266","696,704",89.75,2019
"66","Wilcox","Alabama",1131,"503,231","580,778",86.65,2019
"67","Winston","Alabama",1133,"313,261","404,384",77.47,2019
"68","Aleutians East","Alaska",2013,"0","4,503,413",0.7,2017
"69","Aleutians West","Alaska",2016,"0","2,830,395",0,2017
"70","Anchorage","Alaska",2020,"143,740","1,109,317",14.9,2017
"71","Bethel","Alaska",2050,"0","26,690,521",18.7,2017
"72","Bristol Bay","Alaska",2060,"0","341,931",5,2017
"73","Denali","Alaska",2068,"0","8,180,252",23,2017
"74","Dillingham","Alaska",2070,"0","12,309,849",17.7,2017
"75","Fairbanks North Star","Alaska",2090,"0","4,758,621",56.2,2017
"76","Haines","Alaska",2100,"381,118","1,515,130",24.9,2017
"77","Hoonah-Angoon","Alaska",2105,"0","4,797,073",39.1,2017
"78","Juneau","Alaska",2110,"523,474","1,767,062",26.7,2017
"79","Kenai Peninsula","Alaska",2122,"2,135,906","10,468,424",20.3,2017
"80","Ketchikan Gateway","Alaska",2130,"527,028","3,092,237",55.1,2017
"81","Kodiak Island","Alaska",2150,"509,291","4,241,110",10.5,2017
"82","Kusilvak","Alaska",2158,"0","11,499,904",10.9,2017
"83","Lake and Peninsula","Alaska",2164,"0","16,750,843",11.9,2017
"84","Matanuska-Susitna","Alaska",2170,"0","15,984,815",22,2017
"85","Nome","Alaska",2180,"0","14,769,725",7.8,2017
"86","North Slope","Alaska",2185,"0","57,330,236",0.1,2017
"87","Northwest Arctic","Alaska",2188,"0","23,305,325",8.7,2017
"88","Petersburg","Alaska",2195,"0","2,103,944",62.4,2017
"89","Prince of Wales-Hyder","Alaska",2198,"0","2,455,130",78.1,2017
"90","Sitka","Alaska",2220,"921,479","1,868,519",59.1,2017
"91","Skagway","Alaska",2230,"0","298,460",19,2017
"92","Southeast Fairbanks","Alaska",2240,"0","16,040,442",41.6,2017
"93","Valdez-Cordova","Alaska",2261,"1,096,770","22,334,627",24.5,2017
"94","Wrangell","Alaska",2275,"0","1,642,110",55,2017
"95","Yakutat","Alaska",2282,"277,745","4,998,623",16.8,2017
"96","Yukon-Koyukuk","Alaska",2290,"0","94,592,877",38.1,2017
"97","Apache","Arizona",4001,"2,856,874","7,179,965",39.79,2018
"98","Cochise","Arizona",4003,"1,014,400","3,979,517",25.49,2018
"99","Coconino","Arizona",4005,"4,498,302","11,943,231",37.66,2018
"100","Gila","Arizona",4007,"1,734,154","3,068,776",56.51,2018
"101","Graham","Arizona",4009,"941,963","2,970,419",31.71,2018
"102","Greenlee","Arizona",4011,"653,942","1,182,961",55.28,2018
"103","La Paz","Arizona",4012,"4,649","2,888,475",0.16,2018
"104","Maricopa","Arizona",4013,"75,385","5,903,629",1.28,2018
"105","Mohave","Arizona",4015,"1,476,317","8,620,503",17.13,2018
"106","Navajo","Arizona",4017,"2,136,818","6,374,047",33.52,2018
"107","Pima","Arizona",4019,"769,339","5,880,967",13.08,2018
"108","Pinal","Arizona",4021,"199,604","3,439,098",5.8,2018
"109","Santa Cruz","Arizona",4023,"377,805","792,786",47.66,2018
"110","Yavapai","Arizona",4025,"1,724,869","5,202,006",33.16,2018
"111","Yuma","Arizona",4027,"13,158","3,532,884",0.37,2018
"112","Arkansas","Arkansas",5001,"196,164","661,595",29.65,2018
"113","Ashley","Arkansas",5003,"417,183","601,894",69.31,2018
"114","Baxter","Arkansas",5005,"217,213","375,450",57.85,2018
"115","Benton","Arkansas",5007,"230,110","565,919",40.66,2018
"116","Boone","Arkansas",5009,"169,732","385,125",44.07,2018
"117","Bradley","Arkansas",5011,"369,195","417,899",88.35,2018
"118","Calhoun","Arkansas",5013,"355,432","404,815",87.8,2018
"119","Carroll","Arkansas",5015,"211,172","408,903",51.64,2018
"120","Chicot","Arkansas",5017,"127,573","441,988",28.86,2018
"121","Clark","Arkansas",5019,"469,679","564,867",83.15,2018
"122","Clay","Arkansas",5021,"72,036","410,659",17.54,2018
"123","Cleburne","Arkansas",5023,"273,523","378,830",72.2,2018
"124","Cleveland","Arkansas",5025,"331,704","383,241",86.55,2018
"125","Columbia","Arkansas",5027,"441,040","490,645",89.89,2018
"126","Conway","Arkansas",5029,"181,314","362,721",49.99,2018
"127","Craighead","Arkansas",5031,"55,219","456,152",12.11,2018
"128","Crawford","Arkansas",5033,"228,331","386,487",59.08,2018
"129","Crittenden","Arkansas",5035,"43,337","408,108",10.62,2018
"130","Cross","Arkansas",5037,"47,419","398,305",11.91,2018
"131","Dallas","Arkansas",5039,"411,890","427,589",96.33,2018
"132","Desha","Arkansas",5041,"156,766","524,545",29.89,2018
"133","Drew","Arkansas",5043,"420,863","534,841",78.69,2018
"134","Faulkner","Arkansas",5045,"213,124","425,065",50.14,2018
"135","Franklin","Arkansas",5047,"211,699","396,604",53.38,2018
"136","Fulton","Arkansas",5049,"243,416","396,973",61.32,2018
"137","Garland","Arkansas",5051,"391,280","470,161",83.22,2018
"138","Grant","Arkansas",5053,"391,777","405,092",96.71,2018
"139","Greene","Arkansas",5055,"98,774","370,881",26.63,2018
"140","Hempstead","Arkansas",5057,"299,676","474,372",63.17,2018
"141","Hot Spring","Arkansas",5059,"253,877","398,172",63.76,2018
"142","Howard","Arkansas",5061,"282,474","380,804",74.18,2018
"143","Independence","Arkansas",5063,"216,260","493,763",43.8,2018
"144","Izard","Arkansas",5065,"242,593","373,778",64.9,2018
"145","Jackson","Arkansas",5067,"70,646","410,553",17.21,2018
"146","Jefferson","Arkansas",5069,"210,865","584,774",36.06,2018
"147","Johnson","Arkansas",5071,"312,754","436,989",71.57,2018
"148","Lafayette","Arkansas",5073,"209,781","349,569",60.01,2018
"149","Lawrence","Arkansas",5075,"96,185","379,123",25.37,2018
"150","Lee","Arkansas",5077,"90,796","396,411",22.9,2018
"151","Lincoln","Arkansas",5079,"141,460","366,181",38.63,2018
"152","Little River","Arkansas",5081,"192,849","361,100",53.41,2018
"153","Logan","Arkansas",5083,"264,462","468,155",56.49,2018
"154","Lonoke","Arkansas",5085,"122,896","513,805",23.92,2018
"155","Madison","Arkansas",5087,"325,555","535,647",60.78,2018
"156","Marion","Arkansas",5089,"258,878","409,801",63.17,2018
"157","Miller","Arkansas",5091,"194,096","407,283",47.66,2018
"158","Mississippi","Arkansas",5093,"31,550","588,642",5.36,2018
"159","Monroe","Arkansas",5095,"182,292","397,702",45.84,2018
"160","Montgomery","Arkansas",5097,"415,841","512,194",81.19,2018
"161","Nevada","Arkansas",5099,"330,180","397,306",83.1,2018
