county,state,pay,employee
Autauga,Alabama,4179,79
Baldwin,Alabama,20717,477
Barbour,Alabama,17293,424
Bibb,Alabama,12243,321
Bullock,Alabama,2188,48
Butler,Alabama,29048,562
Calhoun,Alabama,17186,361
Chambers,Alabama,22146,430
Cherokee,Alabama,2314,50
Chilton,Alabama,25477,509
Choctaw,Alabama,13335,254
Clarke,Alabama,52169,1132
Clay,Alabama,2167,74
Cleburne,Alabama,1002,24
Coffee,Alabama,809,20
Colbert,Alabama,17612,395
Conecuh,Alabama,17203,346
Coosa,Alabama,1518,33
Covington,Alabama,1766,36
Crenshaw,Alabama,5743,125
Cullman,Alabama,46763,863
Dale,Alabama,2798,70
Dallas,Alabama,9437,277
DeKalb,Alabama,1396,48
Elmore,Alabama,4573,92
Escambia,Alabama,30671,622
Etowah,Alabama,841,34
Fayette,Alabama,13362,339
Franklin,Alabama,31981,756
Greene,Alabama,684,15
Hale,Alabama,27220,453
Henry,Alabama,2689,89
Houston,Alabama,399,11
Jackson,Alabama,10240,211
Jefferson,Alabama,17499,431
Lamar,Alabama,14575,322
Lauderdale,Alabama,10143,208
Lee,Alabama,9021,184
Limestone,Alabama,639,17
Lowndes,Alabama,516,12
Madison,Alabama,23371,450
Marengo,Alabama,21931,501
Marion,Alabama,39780,1047
Marshall,Alabama,22080,445
Mobile,Alabama,109887,1700
Monroe,Alabama,40552,791
Montgomery,Alabama,19267,464
Morgan,Alabama,21486,549
Pickens,Alabama,22150,601
Pike,Alabama,2648,70
Randolph,Alabama,2029,51
Russell,Alabama,13315,286
Shelby,Alabama,12095,255
St. Clair,Alabama,396,15
Sumter,Alabama,1413,40
Talladega,Alabama,7343,59
Tallapoosa,Alabama,2948,57
Tuscaloosa,Alabama,49560,1147
Walker,Alabama,19055,415
Washington,Alabama,8597,195
Wilcox,Alabama,5367,146
Winston,Alabama,68836,2034
Anchorage Municipality,Alaska,12948,275
Fairbanks North Star Borough,Alaska,1253,15
Kenai Peninsula Borough,Alaska,1263,27
Ketchikan Gateway Borough,Alaska,6792,86
Matanuska-Susitna Borough,Alaska,2046,55
Prince of Wales-Hyder Census Area,Alaska,8682,125
Apache,Arizona,2405,72
Coconino,Arizona,2388,62
Gila,Arizona,1022,37
Maricopa,Arizona,290767,6867
Navajo,Arizona,10279,256
Pima,Arizona,17062,468
Pinal,Arizona,1636,33
Santa Cruz,Arizona,423,13
Yavapai,Arizona,3081,64
Yuma,Arizona,29024,716
Ashley,Arkansas,120403,1732
Benton,Arkansas,7471,225
Boone,Arkansas,10063,285
Bradley,Arkansas,35499,862
Calhoun,Arkansas,452,12
Clark,Arkansas,57711,1100
Clay,Arkansas,1202,44
Cleburne,Arkansas,503,14
Cleveland,Arkansas,3925,97
Columbia,Arkansas,37766,876
Conway,Arkansas,40554,494
Crittenden,Arkansas,161,7
Dallas,Arkansas,19742,477
Drew,Arkansas,26669,625
Faulkner,Arkansas,54324,957
Franklin,Arkansas,349,13
Garland,Arkansas,1786,62
Grant,Arkansas,17164,343
Hempstead,Arkansas,12965,239
Hot Spring,Arkansas,27215,512
Howard,Arkansas,13530,301
Independence,Arkansas,4430,119
Izard,Arkansas,9153,210
Jefferson,Arkansas,103691,1460
Johnson,Arkansas,2055,72
Lafayette,Arkansas,2483,56
Lincoln,Arkansas,1945,54
Little River,Arkansas,3419,106
Madison,Arkansas,2973,108
Miller,Arkansas,3292,79
Montgomery,Arkansas,537,23
Nevada,Arkansas,2380,51
Newton,Arkansas,1353,67
Ouachita,Arkansas,22822,513
Pike,Arkansas,14100,314
Poinsett,Arkansas,4185,89
Polk,Arkansas,6724,349
Pope,Arkansas,31983,915
Pulaski,Arkansas,8254,187
Randolph,Arkansas,1311,70
Saline,Arkansas,5241,127
Scott,Arkansas,1688,55
Searcy,Arkansas,1074,58
Sebastian,Arkansas,68469,1267
Sevier,Arkansas,5811,86
Stone,Arkansas,1433,51
Union,Arkansas,54209,961
Washington,Arkansas,23663,730
White,Arkansas,2428,88
Yell,Arkansas,781,22
Alameda,California,115488,1533
Amador,California,607,10
Butte,California,16274,317
Calaveras,California,1536,14
Contra Costa,California,4438,107
Del Norte,California,1585,41
El Dorado,California,2924,30
Fresno,California,83114,1669
Humboldt,California,63075,1086
Imperial,California,385,10
Kern,California,18114,401
Lake,California,406,23
Lassen,California,3557,46
Los Angeles,California,537290,9696
Madera,California,16910,286
Marin,California,1238,22
Mendocino,California,50576,970
Merced,California,5601,130
Modoc,California,1418,11
Monterey,California,29290,510
Napa,California,15405,239
Nevada,California,6596,113
Orange,California,190888,3247
Placer,California,35646,623
Plumas,California,1990,23
Riverside,California,149050,3206
Sacramento,California,91723,1913
San Benito,California,7377,195
San Bernardino,California,189249,3665
San Diego,California,66740,1431
San Francisco,California,8981,176
San Joaquin,California,94503,2144
San Luis Obispo,California,1300,37
San Mateo,California,7702,128
Santa Barbara,California,4412,125
Santa Clara,California,59284,1145
Santa Cruz,California,9395,138
Shasta,California,67481,1082
Siskiyou,California,31937,568
Solano,California,3833,100
Sonoma,California,31873,590
Stanislaus,California,87060,1678
Sutter,California,5835,118
Tehama,California,63831,1208
Tulare,California,78177,1616
Tuolumne,California,26487,408
Ventura,California,58396,852
Yolo,California,14809,321
Yuba,California,3009,71
Adams,Colorado,54303,1029
Arapahoe,Colorado,8061,186
Boulder,Colorado,17944,333
Delta,Colorado,5429,102
Denver,Colorado,50053,895
Douglas,Colorado,5287,115
Eagle,Colorado,211,5
El Paso,Colorado,16061,358
Fremont,Colorado,960,21
Garfield,Colorado,948,20
Grand,Colorado,4099,108
Gunnison,Colorado,402,12
Jackson,Colorado,1083,23
Jefferson,Colorado,21158,307
La Plata,Colorado,453,14
Larimer,Colorado,15920,383
Mesa,Colorado,2625,68
Montezuma,Colorado,3335,104
Montrose,Colorado,7469,154
Park,Colorado,640,11
Pueblo,Colorado,4346,101
Rio Grande,Colorado,1601,33
Routt,Colorado,284,8
Weld,Colorado,24478,562
Fairfield,Connecticut,26700,446
Hartford,Connecticut,63772,857
Litchfield,Connecticut,40171,650
Middlesex,Connecticut,1868,61
New Haven,Connecticut,36087,671
New London,Connecticut,3306,66
Tolland,Connecticut,12866,217
Windham,Connecticut,19809,370
New Castle,Delaware,1376,54
Sussex,Delaware,6146,162
Alachua,Florida,14295,293
Baker,Florida,267,10
Bay,Florida,10853,237
Bradford,Florida,2263,50
Brevard,Florida,4214,119
Broward,Florida,96597,1721
Calhoun,Florida,2051,39
Clay,Florida,8965,219
Collier,Florida,11001,191
Columbia,Florida,14427,349
Dixie,Florida,22789,479
Duval,Florida,83733,1618
Escambia,Florida,10714,207
Flagler,Florida,898,59
Gadsden,Florida,25107,431
Gilchrist,Florida,2021,59
Hamilton,Florida,836,17
Highlands,Florida,3515,99
Hillsborough,Florida,60814,1262
Holmes,Florida,517,16
Indian River,Florida,642,19
Jackson,Florida,37490,470
Jefferson,Florida,3427,71
Lake,Florida,20275,559
Lee,Florida,8699,179
Leon,Florida,1538,50
Levy,Florida,3163,79
Liberty,Florida,18796,679
Madison,Florida,2638,52
Manatee,Florida,1826,34
Marion,Florida,27798,666
Martin,Florida,4222,89
Miami-Dade,Florida,95590,2054
Nassau,Florida,97594,1116
Okaloosa,Florida,212,7
Orange,Florida,40900,899
Osceola,Florida,9034,262
Palm Beach,Florida,22956,543
Pasco,Florida,768,25
Pinellas,Florida,69288,912
Polk,Florida,76636,1615
Putnam,Florida,84946,1236
Santa Rosa,Florida,3601,113
Sarasota,Florida,3308,79
Seminole,Florida,13462,331
St. Lucie,Florida,14503,343
Sumter,Florida,11663,188
Suwannee,Florida,3574,64
Taylor,Florida,11892,236
Union,Florida,1788,32
Volusia,Florida,4710,161
Walton,Florida,2773,111
Washington,Florida,3799,91
Appling,Georgia,8804,233
Atkinson,Georgia,9039,210
Bacon,Georgia,1888,48
Banks,Georgia,1274,28
Barrow,Georgia,4796,163
Bartow,Georgia,3218,85
Ben Hill,Georgia,17805,353
Bibb,Georgia,88395,1517
Bleckley,Georgia,3778,72
Brantley,Georgia,7254,162
Bulloch,Georgia,10272,225
Burke,Georgia,1246,31
Carroll,Georgia,9957,231
