county,state,Indian_Alaskan,Hawaiian_Pacific,native
Autauga,Alabama,159,32,191
Baldwin,Alabama,1522,9,1531
Barbour,Alabama,72,1,73
Bibb,Alabama,8,0,8
Blount,Alabama,141,18,159
Bullock,Alabama,122,0,122
Butler,Alabama,2,0,2
Calhoun,Alabama,353,9,362
Chambers,Alabama,97,0,97
Cherokee,Alabama,236,0,236
Chilton,Alabama,123,0,123
Choctaw,Alabama,9,0,9
Clarke,Alabama,25,0,25
Clay,Alabama,155,0,155
Cleburne,Alabama,39,0,39
Coffee,Alabama,617,0,617
Colbert,Alabama,367,29,396
Conecuh,Alabama,56,0,56
Coosa,Alabama,9,0,9
Covington,Alabama,58,13,71
Crenshaw,Alabama,109,0,109
Cullman,Alabama,348,3,351
Dale,Alabama,377,4,381
Dallas,Alabama,10,23,33
DeKalb,Alabama,934,621,1555
Elmore,Alabama,209,0,209
Escambia,Alabama,1437,72,1509
Etowah,Alabama,751,66,817
Fayette,Alabama,0,6,6
Franklin,Alabama,488,0,488
Geneva,Alabama,210,4,214
Greene,Alabama,48,0,48
Hale,Alabama,29,0,29
Henry,Alabama,4,0,4
Houston,Alabama,305,18,323
Jackson,Alabama,615,77,692
Jefferson,Alabama,1564,215,1779
Lamar,Alabama,0,0,0
Lauderdale,Alabama,417,61,478
Lawrence,Alabama,1878,24,1902
Lee,Alabama,226,18,244
Limestone,Alabama,853,24,877
Lowndes,Alabama,13,0,13
Macon,Alabama,63,0,63
Madison,Alabama,1975,324,2299
Marengo,Alabama,51,0,51
Marion,Alabama,122,0,122
Marshall,Alabama,389,46,435
Mobile,Alabama,2915,62,2977
Monroe,Alabama,346,0,346
Montgomery,Alabama,414,56,470
Morgan,Alabama,740,48,788
Perry,Alabama,6,0,6
Pickens,Alabama,25,8,33
Pike,Alabama,209,3,212
Randolph,Alabama,51,51,102
Russell,Alabama,165,72,237
St. Clair,Alabama,315,8,323
Shelby,Alabama,468,47,515
Sumter,Alabama,8,0,8
Talladega,Alabama,345,28,373
Tallapoosa,Alabama,130,0,130
Tuscaloosa,Alabama,393,73,466
Walker,Alabama,109,0,109
Washington,Alabama,1227,0,1227
Wilcox,Alabama,22,0,22
Winston,Alabama,93,9,102
Aleutians East Borough,Alaska,1349,25,1374
Aleutians West Census Area,Alaska,651,148,799
Anchorage Municipality,Alaska,21876,6890,28766
Bethel Census Area,Alaska,14927,3,14930
Dillingham Census Area,Alaska,3587,3,3590
Fairbanks North Star Borough,Alaska,7233,561,7794
Haines Borough,Alaska,217,4,221
Hoonah-Angoon Census Area,Alaska,821,3,824
Juneau City and Borough,Alaska,3532,320,3852
Kenai Peninsula Borough,Alaska,4493,194,4687
Ketchikan Gateway Borough,Alaska,2013,5,2018
Kodiak Island Borough,Alaska,1862,90,1952
Kusilvak Census Area,Alaska,7480,2,7482
Matanuska-Susitna Borough,Alaska,5888,226,6114
Nome Census Area,Alaska,7396,43,7439
North Slope Borough,Alaska,5093,175,5268
Northwest Arctic Borough,Alaska,6382,0,6382
Prince of Wales-Hyder Census Area,Alaska,2583,41,2624
Sitka City and Borough,Alaska,1118,8,1126
Southeast Fairbanks Census Area,Alaska,907,2,909
Valdez-Cordova Census Area,Alaska,1188,57,1245
Wrangell City and Borough,Alaska,496,9,505
Yukon-Koyukuk Census Area,Alaska,3820,0,3820
Apache,Arizona,52708,18,52726
Cochise,Arizona,1642,464,2106
Coconino,Arizona,37388,176,37564
Gila,Arizona,8562,20,8582
Graham,Arizona,4808,51,4859
Greenlee,Arizona,436,0,436
La Paz,Arizona,2924,8,2932
Maricopa,Arizona,82699,9405,92104
Mohave,Arizona,4862,509,5371
Navajo,Arizona,48328,87,48415
Pima,Arizona,38200,1610,39810
Pinal,Arizona,20782,1410,22192
Santa Cruz,Arizona,362,0,362
Yavapai,Arizona,3202,226,3428
Yuma,Arizona,2677,128,2805
Arkansas,Arkansas,18,0,18
Ashley,Arkansas,50,0,50
Baxter,Arkansas,130,13,143
Benton,Arkansas,3710,1440,5150
Boone,Arkansas,290,36,326
Bradley,Arkansas,127,0,127
Calhoun,Arkansas,7,10,17
Carroll,Arkansas,188,208,396
Chicot,Arkansas,24,0,24
Clark,Arkansas,86,8,94
Clay,Arkansas,66,0,66
Cleburne,Arkansas,273,0,273
Cleveland,Arkansas,13,0,13
Columbia,Arkansas,87,0,87
Conway,Arkansas,64,0,64
Craighead,Arkansas,480,200,680
Crawford,Arkansas,1237,9,1246
Crittenden,Arkansas,155,76,231
Cross,Arkansas,24,0,24
Dallas,Arkansas,31,15,46
Desha,Arkansas,30,0,30
Drew,Arkansas,18,0,18
Faulkner,Arkansas,493,163,656
Franklin,Arkansas,273,37,310
Fulton,Arkansas,55,5,60
Garland,Arkansas,791,6,797
Grant,Arkansas,33,0,33
Greene,Arkansas,105,40,145
Hempstead,Arkansas,51,50,101
Hot Spring,Arkansas,22,10,32
Howard,Arkansas,27,14,41
Independence,Arkansas,76,7,83
Izard,Arkansas,195,0,195
Jackson,Arkansas,17,7,24
Jefferson,Arkansas,213,0,213
Johnson,Arkansas,45,34,79
Lafayette,Arkansas,21,0,21
Lawrence,Arkansas,47,1,48
Lee,Arkansas,27,0,27
Lincoln,Arkansas,49,0,49
Little River,Arkansas,143,0,143
Logan,Arkansas,228,0,228
Lonoke,Arkansas,434,85,519
Madison,Arkansas,211,59,270
Marion,Arkansas,187,0,187
Miller,Arkansas,477,34,511
Mississippi,Arkansas,28,25,53
Monroe,Arkansas,36,0,36
Montgomery,Arkansas,161,0,161
Nevada,Arkansas,6,1,7
Newton,Arkansas,205,0,205
Ouachita,Arkansas,48,0,48
Perry,Arkansas,63,0,63
Phillips,Arkansas,6,0,6
Pike,Arkansas,75,0,75
Poinsett,Arkansas,54,0,54
Polk,Arkansas,331,0,331
Pope,Arkansas,355,0,355
Prairie,Arkansas,29,0,29
Pulaski,Arkansas,944,170,1114
Randolph,Arkansas,84,0,84
St. Francis,Arkansas,151,0,151
Saline,Arkansas,406,62,468
Scott,Arkansas,248,0,248
Searcy,Arkansas,203,0,203
Sebastian,Arkansas,1644,28,1672
Sevier,Arkansas,364,50,414
Sharp,Arkansas,96,0,96
Stone,Arkansas,63,0,63
Union,Arkansas,391,0,391
Van Buren,Arkansas,120,0,120
Washington,Arkansas,2207,5039,7246
White,Arkansas,275,21,296
Woodruff,Arkansas,0,6,6
Yell,Arkansas,116,0,116
Alameda,California,10712,13768,24480
Amador,California,305,73,378
Butte,California,2885,427,3312
Calaveras,California,492,126,618
Colusa,California,201,53,254
Contra Costa,California,5529,5585,11114
Del Norte,California,2024,17,2041
El Dorado,California,1268,406,1674
Fresno,California,10961,1770,12731
Glenn,California,670,51,721
Humboldt,California,6797,436,7233
Imperial,California,1801,419,2220
Inyo,California,2101,35,2136
Kern,California,9488,1698,11186
Kings,California,2291,337,2628
Lake,California,2426,30,2456
Lassen,California,877,205,1082
Los Angeles,California,70527,27929,98456
Madera,California,2505,169,2674
Marin,California,737,584,1321
Mariposa,California,397,54,451
Mendocino,California,3591,170,3761
Merced,California,1988,623,2611
Modoc,California,298,6,304
Mono,California,527,0,527
Monterey,California,3221,2011,5232
Napa,California,1198,272,1470
Nevada,California,864,154,1018
Orange,California,14466,9442,23908
Placer,California,1890,839,2729
Plumas,California,428,41,469
Riverside,California,19281,6843,26124
Sacramento,California,10340,16715,27055
San Benito,California,422,117,539
San Bernardino,California,17894,6506,24400
San Diego,California,20980,13903,34883
San Francisco,California,2746,2911,5657
San Joaquin,California,4725,4463,9188
San Luis Obispo,California,1900,258,2158
San Mateo,California,2922,10504,13426
Santa Barbara,California,4389,814,5203
Santa Clara,California,9303,7541,16844
Santa Cruz,California,1375,316,1691
Shasta,California,4704,191,4895
Siskiyou,California,1469,149,1618
Solano,California,2114,4113,6227
Sonoma,California,4854,1636,6490
Stanislaus,California,4261,3973,8234
Sutter,California,936,569,1505
Tehama,California,1621,19,1640
Trinity,California,577,158,735
Tulare,California,5469,697,6166
Tuolumne,California,997,134,1131
Ventura,California,7069,1771,8840
Yolo,California,1247,984,2231
Yuba,California,1079,343,1422
Adams,Colorado,6264,598,6862
Alamosa,Colorado,526,65,591
Arapahoe,Colorado,4184,1426,5610
Archuleta,Colorado,192,0,192
Baca,Colorado,57,4,61
Bent,Colorado,72,0,72
Boulder,Colorado,1715,185,1900
Broomfield,Colorado,353,0,353
Chaffee,Colorado,42,0,42
Clear Creek,Colorado,30,7,37
Conejos,Colorado,207,16,223
Costilla,Colorado,80,0,80
Crowley,Colorado,85,0,85
Custer,Colorado,44,0,44
Delta,Colorado,329,0,329
Denver,Colorado,6833,1033,7866
Douglas,Colorado,1075,257,1332
Eagle,Colorado,155,43,198
Elbert,Colorado,222,10,232
El Paso,Colorado,4622,2722,7344
Fremont,Colorado,665,2,667
Garfield,Colorado,404,9,413
Gilpin,Colorado,171,0,171
Grand,Colorado,11,84,95
Gunnison,Colorado,162,22,184
Huerfano,Colorado,115,0,115
Jefferson,Colorado,4162,257,4419
Kit Carson,Colorado,33,38,71
Lake,Colorado,44,31,75
La Plata,Colorado,3435,13,3448
Larimer,Colorado,2322,309,2631
Las Animas,Colorado,506,0,506
Lincoln,Colorado,55,25,80
Logan,Colorado,105,0,105
Mesa,Colorado,1283,410,1693
Moffat,Colorado,104,28,132
Montezuma,Colorado,3248,10,3258
Montrose,Colorado,429,101,530
Morgan,Colorado,112,37,149
Otero,Colorado,293,16,309
Ouray,Colorado,50,4,54
Park,Colorado,291,19,310
Phillips,Colorado,11,0,11
Pitkin,Colorado,22,0,22
Prowers,Colorado,160,0,160
Pueblo,Colorado,6141,65,6206
Rio Blanco,Colorado,39,16,55
Rio Grande,Colorado,306,8,314
Routt,Colorado,150,5,155
Saguache,Colorado,170,0,170
San Miguel,Colorado,42,0,42
Sedgwick,Colorado,17,0,17
Summit,Colorado,75,130,205
Teller,Colorado,110,8,118
Washington,Colorado,14,0,14
Weld,Colorado,2032,280,2312
Yuma,Colorado,51,0,51
Fairfield,Connecticut,2338,487,2825
Hartford,Connecticut,2945,356,3301
Litchfield,Connecticut,356,6,362
Middlesex,Connecticut,264,8,272
New Haven,Connecticut,1540,219,1759
New London,Connecticut,1477,74,1551
Tolland,Connecticut,67,0,67
Windham,Connecticut,711,23,734
Kent,Delaware,1143,59,1202
New Castle,Delaware,1434,182,1616
Sussex,Delaware,878,236,1114
District of Columbia,District of Columbia,1993,340,2333
Alachua,Florida,975,154,1129
Baker,Florida,67,9,76
Bay,Florida,1129,55,1184
Bradford,Florida,104,0,104
Brevard,Florida,1942,492,2434
Broward,Florida,5207,1259,6466
Calhoun,Florida,157,0,157
Charlotte,Florida,464,115,579
Citrus,Florida,449,5,454
Clay,Florida,205,100,305
Collier,Florida,1012,21,1033
Columbia,Florida,220,60,280
DeSoto,Florida,86,46,132
Dixie,Florida,38,21,59
Duval,Florida,2138,687,2825
Escambia,Florida,1505,406,1911
Flagler,Florida,167,14,181
Franklin,Florida,24,63,87
Gadsden,Florida,74,15,89
Gilchrist,Florida,31,0,31
Glades,Florida,532,0,532
Gulf,Florida,59,27,86
Hamilton,Florida,83,0,83
Hardee,Florida,45,21,66
Hendry,Florida,773,0,773
Hernando,Florida,561,25,586
Highlands,Florida,248,15,263
Hillsborough,Florida,4336,904,5240
Holmes,Florida,216,71,287
Indian River,Florida,411,58,469
Jackson,Florida,312,58,370
Jefferson,Florida,77,0,77
Lafayette,Florida,13,187,200
Lake,Florida,1416,201,1617
Lee,Florida,1330,421,1751
Leon,Florida,578,81,659
Levy,Florida,118,0,118
Liberty,Florida,90,0,90
Madison,Florida,70,2,72
Manatee,Florida,965,250,1215
Marion,Florida,976,268,1244
Martin,Florida,826,130,956
Miami-Dade,Florida,4668,751,5419
Monroe,Florida,114,107,221
Nassau,Florida,274,0,274
Okaloosa,Florida,1032,333,1365
Okeechobee,Florida,334,86,420
Orange,Florida,2888,1012,3900
Osceola,Florida,1526,358,1884
Palm Beach,Florida,2402,592,2994
