"","county","state","fips","indigenous","pop","pct.indigenous"
"1","Autauga","Alabama","01001",191,55200,0.35
"2","Baldwin","Alabama","01003",1531,208107,0.74
"3","Barbour","Alabama","01005",73,25782,0.28
"4","Bibb","Alabama","01007",8,22527,0.04
"5","Blount","Alabama","01009",159,57645,0.28
"6","Bullock","Alabama","01011",122,10352,1.18
"7","Butler","Alabama","01013",2,20025,0.01
"8","Calhoun","Alabama","01015",362,115098,0.31
"9","Chambers","Alabama","01017",97,33826,0.29
"10","Cherokee","Alabama","01019",236,25853,0.91
"11","Chilton","Alabama","01021",123,43930,0.28
"12","Choctaw","Alabama","01023",9,13075,0.07
"13","Clarke","Alabama","01025",25,24387,0.1
"14","Clay","Alabama","01027",155,13378,1.16
"15","Cleburne","Alabama","01029",39,14938,0.26
"16","Coffee","Alabama","01031",617,51288,1.2
"17","Colbert","Alabama","01033",396,54495,0.73
"18","Conecuh","Alabama","01035",56,12514,0.45
"19","Coosa","Alabama","01037",9,10855,0.08
"20","Covington","Alabama","01039",71,37351,0.19
"21","Crenshaw","Alabama","01041",109,13865,0.79
"22","Cullman","Alabama","01043",351,82313,0.43
"23","Dale","Alabama","01045",381,49255,0.77
"24","Dallas","Alabama","01047",33,40029,0.08
"25","DeKalb","Alabama","01049",1555,71200,2.18
"26","Elmore","Alabama","01051",209,81212,0.26
"27","Escambia","Alabama","01053",1509,37328,4.04
"28","Etowah","Alabama","01055",817,102939,0.79
"29","Fayette","Alabama","01057",6,16585,0.04
"30","Franklin","Alabama","01059",488,31542,1.55
"31","Geneva","Alabama","01061",214,26491,0.81
"32","Greene","Alabama","01063",48,8426,0.57
"33","Hale","Alabama","01065",29,14887,0.19
"34","Henry","Alabama","01067",4,17124,0.02
"35","Houston","Alabama","01069",323,104352,0.31
"36","Jackson","Alabama","01071",692,52094,1.33
"37","Jefferson","Alabama","01073",1779,659892,0.27
"38","Lamar","Alabama","01075",0,13933,0
"39","Lauderdale","Alabama","01077",478,92585,0.52
"40","Lawrence","Alabama","01079",1902,33171,5.73
"41","Lee","Alabama","01081",244,159287,0.15
"42","Limestone","Alabama","01083",877,93052,0.94
"43","Lowndes","Alabama","01085",13,10236,0.13
"44","Macon","Alabama","01087",63,19054,0.33
"45","Madison","Alabama","01089",2299,357560,0.64
"46","Marengo","Alabama","01091",51,19538,0.26
"47","Marion","Alabama","01093",122,29965,0.41
"48","Marshall","Alabama","01095",435,95145,0.46
"49","Mobile","Alabama","01097",2977,414659,0.72
"50","Monroe","Alabama","01099",346,21512,1.61
"51","Montgomery","Alabama","01101",470,226941,0.21
"52","Morgan","Alabama","01103",788,119122,0.66
"53","Perry","Alabama","01105",6,9486,0.06
"54","Pickens","Alabama","01107",33,20298,0.16
"55","Pike","Alabama","01109",212,33403,0.63
"56","Randolph","Alabama","01111",102,22574,0.45
"57","Russell","Alabama","01113",237,58213,0.41
"58","St. Clair","Alabama","01115",323,87306,0.37
"59","Shelby","Alabama","01117",515,211261,0.24
"60","Sumter","Alabama","01119",8,12985,0.06
"61","Talladega","Alabama","01121",373,80565,0.46
"62","Tallapoosa","Alabama","01123",130,40636,0.32
"63","Tuscaloosa","Alabama","01125",466,206213,0.23
"64","Walker","Alabama","01127",109,64493,0.17
"65","Washington","Alabama","01129",1227,16643,7.37
"66","Wilcox","Alabama","01131",22,10809,0.2
"67","Winston","Alabama","01133",102,23875,0.43
"68","Aleutians East Borough","Alaska","02013",1374,3425,40.12
"69","Aleutians West Census Area","Alaska","02016",799,5750,13.9
"70","Anchorage Municipality","Alaska","02020",28766,296112,9.71
