"","fips","state","county","pct.forest","pct.employees","pct.earnings","pct.indigenous","forest.dependent.community","community.category"
"1",1001,"Alabama","Autauga",78.72,0.69,1.12,0.35,"FDC","FDC"
"2",1003,"Alabama","Baldwin",69.06,0.74,0.94,0.74,"NFDC","MNFDC"
"3",1005,"Alabama","Barbour",74.48,6.07,6.97,0.28,"NFDC","NMNFDC"
"4",1007,"Alabama","Bibb",79.98,9.12,8.43,0.04,"FDC","FDC"
"5",1009,"Alabama","Blount",55.47,0,0,0.28,"NFDC","MNFDC"
"6",1011,"Alabama","Bullock",82.05,2.32,3.26,1.18,"FDC","FDC"
"7",1013,"Alabama","Butler",82.63,9.1,14.37,0.01,"FDC","FDC"
"8",1015,"Alabama","Calhoun",51.63,0.99,1.33,0.31,"NFDC","MNFDC"
"9",1017,"Alabama","Chambers",80.59,6.22,9.14,0.29,"FDC","FDC"
"10",1019,"Alabama","Cherokee",66.83,1.13,1.77,0.91,"NFDC","NMNFDC"
"11",1021,"Alabama","Chilton",73.75,6.48,9,0.28,"NFDC","MNFDC"
"12",1023,"Alabama","Choctaw",90.85,8.55,8.69,0.07,"FDC","FDC"
"13",1025,"Alabama","Clarke",92.32,17.74,22.56,0.1,"FDC","FDC"
"14",1027,"Alabama","Clay",79.82,2.05,1.79,1.16,"FDC","FDC"
"15",1029,"Alabama","Cleburne",73.61,1.43,1.49,0.26,"NFDC","NMNFDC"
"16",1031,"Alabama","Coffee",56.69,0.15,0.17,1.2,"NFDC","NMNFDC"
"17",1033,"Alabama","Colbert",57.31,1.67,1.9,0.73,"NFDC","MNFDC"
"18",1035,"Alabama","Conecuh",81.71,12.73,18.8,0.45,"FDC","FDC"
"19",1037,"Alabama","Coosa",88.33,3.12,3.68,0.08,"FDC","FDC"
"20",1039,"Alabama","Covington",74.09,0.35,0.49,0.19,"NFDC","NMNFDC"
"21",1041,"Alabama","Crenshaw",81.46,4.07,4.99,0.79,"FDC","FDC"
"22",1043,"Alabama","Cullman",49.91,3.46,5.12,0.43,"NFDC","NMNFDC"
"23",1045,"Alabama","Dale",72.01,0.63,0.5,0.77,"NFDC","NMNFDC"
