State name,County name,State fips,County fips,FIPS,Forest area (acres),Land and water area (acres),Forest area proportion,Latest inventory year
Alabama,Autauga,1,1,1001,"304,366","386,648",78.72,2019
Alabama,Baldwin,1,3,1003,"725,005","1,049,828",69.06,2019
Alabama,Barbour,1,5,1005,"431,171","578,883",74.48,2019
Alabama,Bibb,1,7,1007,"320,525","400,757",79.98,2019
Alabama,Blount,1,9,1009,"230,967","416,405",55.47,2019
Alabama,Bullock,1,11,1011,"328,223","400,041",82.05,2019
Alabama,Butler,1,13,1013,"411,366","497,853",82.63,2019
Alabama,Calhoun,1,15,1015,"202,334","391,918",51.63,2019
Alabama,Chambers,1,17,1017,"311,053","385,974",80.59,2019
Alabama,Cherokee,1,19,1019,"256,677","384,051",66.83,2019
Alabama,Chilton,1,21,1021,"330,802","448,530",73.75,2019
Alabama,Choctaw,1,23,1023,"535,446","589,381",90.85,2019
Alabama,Clarke,1,25,1025,"740,002","801,530",92.32,2019
Alabama,Clay,1,27,1027,"309,550","387,796",79.82,2019
Alabama,Cleburne,1,29,1029,"264,297","359,040",73.61,2019
Alabama,Coffee,1,31,1031,"246,891","435,504",56.69,2019
Alabama,Colbert,1,33,1033,"228,232","398,264",57.31,2019
Alabama,Conecuh,1,35,1035,"445,922","545,742",81.71,2019
Alabama,Coosa,1,37,1037,"376,730","426,485",88.33,2019
Alabama,Covington,1,39,1039,"494,969","668,025",74.09,2019
Alabama,Crenshaw,1,41,1041,"318,502","390,972",81.46,2019
Alabama,Cullman,1,43,1043,"241,118","483,137",49.91,2019
Alabama,Dale,1,45,1045,"259,346","360,136",72.01,2019
Alabama,Dallas,1,47,1047,"433,523","635,989",68.17,2019
Alabama,DeKalb,1,49,1049,"184,417","498,316",37.01,2019
Alabama,Elmore,1,51,1051,"238,474","420,621",56.7,2019
Alabama,Escambia,1,53,1053,"474,358","610,013",77.76,2019
Alabama,Etowah,1,55,1055,"187,315","351,181",53.34,2019
Alabama,Fayette,1,57,1057,"337,022","402,777",83.67,2019
Alabama,Franklin,1,59,1059,"298,122","413,766",72.05,2019
Alabama,Geneva,1,61,1061,"198,641","370,570",53.6,2019
Alabama,Greene,1,63,1063,"337,359","422,413",79.86,2019
Alabama,Hale,1,65,1065,"282,768","420,130",67.3,2019
Alabama,Henry,1,67,1067,"268,031","363,732",73.69,2019
Alabama,Houston,1,69,1069,"175,546","372,164",47.17,2019
Alabama,Jackson,1,71,1071,"447,913","721,162",62.11,2019
Alabama,Jefferson,1,73,1073,"394,363","719,283",54.83,2019
Alabama,Lamar,1,75,1075,"339,085","387,489",87.51,2019
Alabama,Lauderdale,1,77,1077,"183,205","461,128",39.73,2019
Alabama,Lawrence,1,79,1079,"224,949","459,054",49,2019
Alabama,Lee,1,81,1081,"252,768","394,280",64.11,2019
Alabama,Limestone,1,83,1083,"103,527","388,788",26.63,2019
Alabama,Lowndes,1,85,1085,"314,640","463,970",67.81,2019
Alabama,Macon,1,87,1087,"330,346","392,503",84.16,2019
Alabama,Madison,1,89,1089,"207,989","520,116",39.99,2019
Alabama,Marengo,1,91,1091,"479,943","629,011",76.3,2019
Alabama,Marion,1,93,1093,"369,562","475,872",77.66,2019
Alabama,Marshall,1,95,1095,"153,131","398,874",38.39,2019
Alabama,Mobile,1,97,1097,"496,837","806,812",61.58,2019
Alabama,Monroe,1,99,1099,"571,745","661,995",86.37,2019
Alabama,Montgomery,1,101,1101,"255,096","511,915",49.83,2019
Alabama,Morgan,1,103,1103,"189,847","383,380",49.52,2019
Alabama,Perry,1,105,1105,"344,163","463,384",74.27,2019
Alabama,Pickens,1,107,1107,"481,383","569,627",84.51,2019
Alabama,Pike,1,109,1109,"308,426","430,806",71.59,2019
Alabama,Randolph,1,111,1111,"281,638","373,871",75.33,2019
Alabama,Russell,1,113,1113,"314,485","414,085",75.95,2019
Alabama,St. Clair,1,115,1115,"309,412","418,197",73.99,2019
Alabama,Shelby,1,117,1117,"340,294","518,059",65.69,2019
Alabama,Sumter,1,119,1119,"454,678","584,537",77.78,2019
Alabama,Talladega,1,121,1121,"303,585","486,651",62.38,2019
Alabama,Tallapoosa,1,123,1123,"394,264","490,382",80.4,2019
Alabama,Tuscaloosa,1,125,1125,"698,126","864,743",80.73,2019
Alabama,Walker,1,127,1127,"388,399","515,401",75.36,2019
Alabama,Washington,1,129,1129,"625,266","696,704",89.75,2019
Alabama,Wilcox,1,131,1131,"503,231","580,778",86.65,2019
Alabama,Winston,1,133,1133,"313,261","404,384",77.47,2019
Alaska,Aleutians East,2,13,2013,0,"4,503,413",0.7,2017
Alaska,Aleutians West,2,16,2016,0,"2,830,395",0,2017
Alaska,Anchorage,2,20,2020,"143,740","1,109,317",14.9,2017
Alaska,Bethel,2,50,2050,0,"26,690,521",18.7,2017
Alaska,Bristol Bay,2,60,2060,0,"341,931",5,2017
Alaska,Denali,2,68,2068,0,"8,180,252",23,2017
Alaska,Dillingham,2,70,2070,0,"12,309,849",17.7,2017
Alaska,Fairbanks North Star,2,90,2090,0,"4,758,621",56.2,2017
Alaska,Haines,2,100,2100,"381,118","1,515,130",24.9,2017
Alaska,Hoonah-Angoon,2,105,2105,0,"4,797,073",39.1,2017
Alaska,Juneau,2,110,2110,"523,474","1,767,062",26.7,2017
Alaska,Kenai Peninsula,2,122,2122,"2,135,906","10,468,424",20.3,2017
Alaska,Ketchikan Gateway,2,130,2130,"527,028","3,092,237",55.1,2017
Alaska,Kodiak Island,2,150,2150,"509,291","4,241,110",10.5,2017
Alaska,Kusilvak,2,158,2158,0,"11,499,904",10.9,2017
Alaska,Lake and Peninsula,2,164,2164,0,"16,750,843",11.9,2017
Alaska,Matanuska-Susitna,2,170,2170,0,"15,984,815",22,2017
Alaska,Nome,2,180,2180,0,"14,769,725",7.8,2017
Alaska,North Slope,2,185,2185,0,"57,330,236",0.1,2017
Alaska,Northwest Arctic,2,188,2188,0,"23,305,325",8.7,2017
Alaska,Petersburg,2,195,2195,0,"2,103,944",62.4,2017
Alaska,Prince of Wales-Hyder,2,198,2198,0,"2,455,130",78.1,2017
Alaska,Sitka,2,220,2220,"921,479","1,868,519",59.1,2017
Alaska,Skagway,2,230,2230,0,"298,460",19,2017
Alaska,Southeast Fairbanks,2,240,2240,0,"16,040,442",41.6,2017
Alaska,Valdez-Cordova,2,261,2261,"1,096,770","22,334,627",24.5,2017
Alaska,Wrangell,2,275,2275,0,"1,642,110",55,2017
Alaska,Yakutat,2,282,2282,"277,745","4,998,623",16.8,2017
Alaska,Yukon-Koyukuk,2,290,2290,0,"94,592,877",38.1,2017
Arizona,Apache,4,1,4001,"2,856,874","7,179,965",39.79,2018
Arizona,Cochise,4,3,4003,"1,014,400","3,979,517",25.49,2018
Arizona,Coconino,4,5,4005,"4,498,302","11,943,231",37.66,2018
Arizona,Gila,4,7,4007,"1,734,154","3,068,776",56.51,2018
Arizona,Graham,4,9,4009,"941,963","2,970,419",31.71,2018
Arizona,Greenlee,4,11,4011,"653,942","1,182,961",55.28,2018
Arizona,La Paz,4,12,4012,"4,649","2,888,475",0.16,2018
Arizona,Maricopa,4,13,4013,"75,385","5,903,629",1.28,2018
Arizona,Mohave,4,15,4015,"1,476,317","8,620,503",17.13,2018
Arizona,Navajo,4,17,4017,"2,136,818","6,374,047",33.52,2018
Arizona,Pima,4,19,4019,"769,339","5,880,967",13.08,2018
Arizona,Pinal,4,21,4021,"199,604","3,439,098",5.8,2018
Arizona,Santa Cruz,4,23,4023,"377,805","792,786",47.66,2018
Arizona,Yavapai,4,25,4025,"1,724,869","5,202,006",33.16,2018
Arizona,Yuma,4,27,4027,"13,158","3,532,884",0.37,2018
Arkansas,Arkansas,5,1,5001,"196,164","661,595",29.65,2018
Arkansas,Ashley,5,3,5003,"417,183","601,894",69.31,2018
Arkansas,Baxter,5,5,5005,"217,213","375,450",57.85,2018
Arkansas,Benton,5,7,5007,"230,110","565,919",40.66,2018
Arkansas,Boone,5,9,5009,"169,732","385,125",44.07,2018
Arkansas,Bradley,5,11,5011,"369,195","417,899",88.35,2018
Arkansas,Calhoun,5,13,5013,"355,432","404,815",87.8,2018
Arkansas,Carroll,5,15,5015,"211,172","408,903",51.64,2018
Arkansas,Chicot,5,17,5017,"127,573","441,988",28.86,2018
Arkansas,Clark,5,19,5019,"469,679","564,867",83.15,2018
Arkansas,Clay,5,21,5021,"72,036","410,659",17.54,2018
Arkansas,Cleburne,5,23,5023,"273,523","378,830",72.2,2018
Arkansas,Cleveland,5,25,5025,"331,704","383,241",86.55,2018
Arkansas,Columbia,5,27,5027,"441,040","490,645",89.89,2018
Arkansas,Conway,5,29,5029,"181,314","362,721",49.99,2018
Arkansas,Craighead,5,31,5031,"55,219","456,152",12.11,2018
Arkansas,Crawford,5,33,5033,"228,331","386,487",59.08,2018
Arkansas,Crittenden,5,35,5035,"43,337","408,108",10.62,2018
Arkansas,Cross,5,37,5037,"47,419","398,305",11.91,2018
Arkansas,Dallas,5,39,5039,"411,890","427,589",96.33,2018
Arkansas,Desha,5,41,5041,"156,766","524,545",29.89,2018
Arkansas,Drew,5,43,5043,"420,863","534,841",78.69,2018
