county,state,pop
Autauga,Alabama,55200
Baldwin,Alabama,208107
Barbour,Alabama,25782
Bibb,Alabama,22527
Blount,Alabama,57645
Bullock,Alabama,10352
Butler,Alabama,20025
Calhoun,Alabama,115098
Chambers,Alabama,33826
Cherokee,Alabama,25853
Chilton,Alabama,43930
Choctaw,Alabama,13075
Clarke,Alabama,24387
Clay,Alabama,13378
Cleburne,Alabama,14938
Coffee,Alabama,51288
Colbert,Alabama,54495
Conecuh,Alabama,12514
Coosa,Alabama,10855
Covington,Alabama,37351
Crenshaw,Alabama,13865
Cullman,Alabama,82313
Dale,Alabama,49255
Dallas,Alabama,40029
DeKalb,Alabama,71200
Elmore,Alabama,81212
Escambia,Alabama,37328
Etowah,Alabama,102939
Fayette,Alabama,16585
Franklin,Alabama,31542
Geneva,Alabama,26491
Greene,Alabama,8426
Hale,Alabama,14887
Henry,Alabama,17124
Houston,Alabama,104352
Jackson,Alabama,52094
Jefferson,Alabama,659892
Lamar,Alabama,13933
Lauderdale,Alabama,92585
Lawrence,Alabama,33171
Lee,Alabama,159287
Limestone,Alabama,93052
Lowndes,Alabama,10236
Macon,Alabama,19054
Madison,Alabama,357560
Marengo,Alabama,19538
Marion,Alabama,29965
Marshall,Alabama,95145
Mobile,Alabama,414659
Monroe,Alabama,21512
Montgomery,Alabama,226941
Morgan,Alabama,119122
Perry,Alabama,9486
Pickens,Alabama,20298
Pike,Alabama,33403
Randolph,Alabama,22574
Russell,Alabama,58213
St. Clair,Alabama,87306
Shelby,Alabama,211261
Sumter,Alabama,12985
Talladega,Alabama,80565
Tallapoosa,Alabama,40636
Tuscaloosa,Alabama,206213
Walker,Alabama,64493
Washington,Alabama,16643
Wilcox,Alabama,10809
Winston,Alabama,23875
Aleutians East Borough,Alaska,3425
Aleutians West Census Area,Alaska,5750
Anchorage Municipality,Alaska,296112
Bethel Census Area,Alaska,18040
Bristol Bay Borough,Alaska,890
Denali Borough,Alaska,2232
Dillingham Census Area,Alaska,4975
Fairbanks North Star Borough,Alaska,99653
Haines Borough,Alaska,2518
Hoonah-Angoon Census Area,Alaska,2132
Juneau City and Borough,Alaska,32330
Kenai Peninsula Borough,Alaska,58220
Ketchikan Gateway Borough,Alaska,13804
Kodiak Island Borough,Alaska,13649
Kusilvak Census Area,Alaska,8198
Lake and Peninsula Borough,Alaska,1375
Matanuska-Susitna Borough,Alaska,103464
Nome Census Area,Alaska,9925
North Slope Borough,Alaska,9797
Northwest Arctic Borough,Alaska,7734
Prince of Wales-Hyder Census Area,Alaska,6474
Sitka City and Borough,Alaska,8738
Skagway Municipality,Alaska,1061
Southeast Fairbanks Census Area,Alaska,6876
Valdez-Cordova Census Area,Alaska,9301
Wrangell City and Borough,Alaska,2484
Yakutat City and Borough,Alaska,689
Yukon-Koyukuk Census Area,Alaska,5415
Apache,Arizona,71522
Cochise,Arizona,126279
Coconino,Arizona,140217
Gila,Arizona,53400
Graham,Arizona,37879
Greenlee,Arizona,9504
La Paz,Arizona,20701
Maricopa,Arizona,4253913
Mohave,Arizona,206064
Navajo,Arizona,108705
Pima,Arizona,1019722
Pinal,Arizona,419721
Santa Cruz,Arizona,46584
Yavapai,Arizona,224645
Yuma,Arizona,207829
Arkansas,Arkansas,18124
Ashley,Arkansas,20537
Baxter,Arkansas,41219
Benton,Arkansas,258980
Boone,Arkansas,37288
Bradley,Arkansas,10948
Calhoun,Arkansas,5202
Carroll,Arkansas,27887
Chicot,Arkansas,10826
Clark,Arkansas,22385
Clay,Arkansas,15061
Cleburne,Arkansas,25230
Cleveland,Arkansas,8226
Columbia,Arkansas,23892
Conway,Arkansas,20906
Craighead,Arkansas,105701
Crawford,Arkansas,62472
Crittenden,Arkansas,49013
Cross,Arkansas,16998
Dallas,Arkansas,7432
Desha,Arkansas,11887
Drew,Arkansas,18502
Faulkner,Arkansas,122416
Franklin,Arkansas,17780
Fulton,Arkansas,12139
Garland,Arkansas,98296
Grant,Arkansas,18086
Greene,Arkansas,44623
Hempstead,Arkansas,22018
Hot Spring,Arkansas,33520
Howard,Arkansas,13389
Independence,Arkansas,37264
Izard,Arkansas,13559
Jackson,Arkansas,17225
Jefferson,Arkansas,70424
Johnson,Arkansas,26291
Lafayette,Arkansas,6915
Lawrence,Arkansas,16669
Lee,Arkansas,9398
Lincoln,Arkansas,13695
Little River,Arkansas,12417
Logan,Arkansas,21757
Lonoke,Arkansas,72206
Madison,Arkansas,16076
Marion,Arkansas,16438
Miller,Arkansas,43759
Mississippi,Arkansas,42831
Monroe,Arkansas,7249
Montgomery,Arkansas,8993
Nevada,Arkansas,8440
Newton,Arkansas,7848
Ouachita,Arkansas,24106
Perry,Arkansas,10322
Phillips,Arkansas,19034
Pike,Arkansas,10808
Poinsett,Arkansas,24054
Polk,Arkansas,20163
Pope,Arkansas,63644
Prairie,Arkansas,8244
Pulaski,Arkansas,393463
Randolph,Arkansas,17603
St. Francis,Arkansas,26294
Saline,Arkansas,118009
Scott,Arkansas,10442
Searcy,Arkansas,7923
Sebastian,Arkansas,127461
Sevier,Arkansas,17193
Sharp,Arkansas,17043
Stone,Arkansas,12446
Union,Arkansas,39732
Van Buren,Arkansas,16684
Washington,Arkansas,228529
White,Arkansas,78804
Woodruff,Arkansas,6660
Yell,Arkansas,21573
Alameda,California,1643700
Alpine,California,1146
Amador,California,37829
Butte,California,227075
Calaveras,California,45235
Colusa,California,21464
Contra Costa,California,1133247
Del Norte,California,27424
El Dorado,California,186661
Fresno,California,978130
Glenn,California,27897
Humboldt,California,135768
Imperial,California,180216
Inyo,California,18085
Kern,California,883053
Kings,California,150075
Lake,California,64148
Lassen,California,31185
Los Angeles,California,10098052
Madera,California,155013
Marin,California,260295
Mariposa,California,17540
Mendocino,California,87422
Merced,California,269075
Modoc,California,8938
Mono,California,14174
Monterey,California,433212
Napa,California,140530
Nevada,California,99092
Orange,California,3164182
Placer,California,380077
Plumas,California,18699
Riverside,California,2383286
Sacramento,California,1510023
San Benito,California,59416
San Bernardino,California,2135413
San Diego,California,3302833
San Francisco,California,870044
San Joaquin,California,732212
San Luis Obispo,California,281455
San Mateo,California,765935
Santa Barbara,California,443738
Santa Clara,California,1922200
Santa Cruz,California,273765
Shasta,California,179085
Sierra,California,2930
Siskiyou,California,43540
Solano,California,438530
Sonoma,California,501317
Stanislaus,California,539301
Sutter,California,95872
Tehama,California,63373
Trinity,California,12862
Tulare,California,460477
Tuolumne,California,53932
Ventura,California,848112
Yolo,California,214977
Yuba,California,75493
Adams,Colorado,497115
Alamosa,Colorado,16444
Arapahoe,Colorado,636671
Archuleta,Colorado,12908
Baca,Colorado,3563
Bent,Colorado,5809
Boulder,Colorado,321030
Broomfield,Colorado,66120
Chaffee,Colorado,19164
Cheyenne,Colorado,2039
Clear Creek,Colorado,9379
Conejos,Colorado,8142
Costilla,Colorado,3687
Crowley,Colorado,5630
Custer,Colorado,4640
Delta,Colorado,30346
Denver,Colorado,693417
Dolores,Colorado,1841
Douglas,Colorado,328614
Eagle,Colorado,54357
Elbert,Colorado,25162
El Paso,Colorado,688153
Fremont,Colorado,47002
Garfield,Colorado,58538
Gilpin,Colorado,5924
