county,state,pay,employee
Autauga,Alabama,373865,11397
Baldwin,Alabama,2212640,64354
Barbour,Alabama,248131,6980
Bibb,Alabama,145171,3519
Blount,Alabama,219763,6673
Bullock,Alabama,67073,2070
Butler,Alabama,202211,6175
Calhoun,Alabama,1287679,36341
Chambers,Alabama,242236,6914
Cherokee,Alabama,130600,4413
Chilton,Alabama,282943,7861
Choctaw,Alabama,153403,2972
Clarke,Alabama,231212,6380
Clay,Alabama,120995,3601
Cleburne,Alabama,67228,1681
Coffee,Alabama,463492,13217
Colbert,Alabama,927774,23654
Conecuh,Alabama,91508,2717
Coosa,Alabama,41263,1059
Covington,Alabama,363316,10270
Crenshaw,Alabama,115202,3070
Cullman,Alabama,912638,24938
Dale,Alabama,557346,11045
Dallas,Alabama,367558,9501
DeKalb,Alabama,673121,18286
Elmore,Alabama,514445,14980
Escambia,Alabama,361756,10173
Etowah,Alabama,1044124,30301
Fayette,Alabama,108339,3183
Franklin,Alabama,369361,10652
Geneva,Alabama,124307,3855
Greene,Alabama,44991,1379
Hale,Alabama,75519,1982
Henry,Alabama,231664,3418
Houston,Alabama,1696058,43904
Jackson,Alabama,453577,12933
Jefferson,Alabama,17640095,334980
Lamar,Alabama,124537,3220
Lauderdale,Alabama,815067,26317
Lawrence,Alabama,106608,3304
Lee,Alabama,1642011,47911
Limestone,Alabama,681979,17576
Lowndes,Alabama,82071,1883
Macon,Alabama,211590,4877
Madison,Alabama,9178143,167914
Marengo,Alabama,234604,6180
Marion,Alabama,275065,7812
Marshall,Alabama,1092057,31948
Mobile,Alabama,7077799,156406
Monroe,Alabama,227240,5319
Montgomery,Alabama,4473682,104325
Morgan,Alabama,2034090,45773
Perry,Alabama,51382,1520
Pickens,Alabama,91447,2701
Pike,Alabama,420171,11815
Randolph,Alabama,118763,3867
Russell,Alabama,377553,10971
St. Clair,Alabama,642108,18269
Shelby,Alabama,4624569,86613
Sumter,Alabama,121001,2842
Talladega,Alabama,1113589,25327
Tallapoosa,Alabama,331005,10274
Tuscaloosa,Alabama,3450244,78802
Walker,Alabama,533996,14559
Washington,Alabama,419192,5258
Wilcox,Alabama,101302,1993
Winston,Alabama,231688,6817
Aleutians East Borough,Alaska,94789,2170
Aleutians West Census Area,Alaska,145669,3225
Anchorage Municipality,Alaska,9087897,142738
Bethel Census Area,Alaska,157103,2961
Bristol Bay Borough,Alaska,52480,398
Denali Borough,Alaska,63626,712
Dillingham Census Area,Alaska,73803,1237
Fairbanks North Star Borough,Alaska,1458127,26588
Haines Borough,Alaska,36748,560
Hoonah-Angoon Census Area,Alaska,13773,275
Juneau City and Borough,Alaska,601645,10952
Kenai Peninsula Borough,Alaska,770900,14675
Ketchikan Gateway Borough,Alaska,281242,4799
Kodiak Island Borough,Alaska,206010,5520
Kusilvak Census Area,Alaska,19244,731
Lake and Peninsula Borough,Alaska,15081,238
Matanuska-Susitna Borough,Alaska,858830,18559
Nome Census Area,Alaska,121975,2119
North Slope Borough,Alaska,426449,4313
Northwest Arctic Borough,Alaska,174649,1859
Prince of Wales-Hyder Census Area,Alaska,51593,1028
Sitka City and Borough,Alaska,152784,2987
Skagway Municipality,Alaska,30277,387
Southeast Fairbanks Census Area,Alaska,89472,1243
Valdez-Cordova Census Area,Alaska,196826,2814
Wrangell City and Borough,Alaska,24245,574
Yakutat City and Borough,Alaska,6418,145
Yukon-Koyukuk Census Area,Alaska,14961,400
Apache,Arizona,255630,6454
Cochise,Arizona,929839,24938
Coconino,Arizona,2261842,54792
Gila,Arizona,445844,11169
Graham,Arizona,283313,7402
Greenlee,Arizona,227121,3323
La Paz,Arizona,106132,3710
Maricopa,Arizona,90029684,1748608
Mohave,Arizona,1526599,43206
Navajo,Arizona,738734,19457
Pima,Arizona,14054717,325315
Pinal,Arizona,1975434,51898
Santa Cruz,Arizona,414553,11562
Yavapai,Arizona,2235425,62156
Yuma,Arizona,1575028,45172
Arkansas,Arkansas,365699,8707
Ashley,Arkansas,257327,5435
Baxter,Arkansas,482295,13465
Benton,Arkansas,7171698,123749
Boone,Arkansas,475556,12473
Bradley,Arkansas,81990,2497
Calhoun,Arkansas,17979,424
Carroll,Arkansas,249910,8400
Chicot,Arkansas,66953,1961
Clark,Arkansas,233056,6880
Clay,Arkansas,73437,2442
Cleburne,Arkansas,183105,5610
Cleveland,Arkansas,17724,649
Columbia,Arkansas,288371,7120
Conway,Arkansas,185263,4688
Craighead,Arkansas,1701320,43515
Crawford,Arkansas,587798,16615
Crittenden,Arkansas,466177,13332
Cross,Arkansas,119492,3812
Dallas,Arkansas,75715,2328
Desha,Arkansas,119822,3339
Drew,Arkansas,168010,5165
Faulkner,Arkansas,1463534,36148
Franklin,Arkansas,110007,3327
Fulton,Arkansas,40777,1455
Garland,Arkansas,1175766,34912
Grant,Arkansas,116251,3339
Greene,Arkansas,559883,14936
Hempstead,Arkansas,204573,6194
Hot Spring,Arkansas,218082,5748
Howard,Arkansas,190116,5849
Independence,Arkansas,579238,14684
Izard,Arkansas,62029,2022
Jackson,Arkansas,133438,3538
Jefferson,Arkansas,747336,19627
Johnson,Arkansas,219720,7371
Lafayette,Arkansas,20857,653
Lawrence,Arkansas,94068,3034
Lee,Arkansas,31756,894
Lincoln,Arkansas,55406,1537
Little River,Arkansas,172691,2732
Logan,Arkansas,127965,3808
Lonoke,Arkansas,363744,11411
Madison,Arkansas,83390,2558
Marion,Arkansas,93753,2730
Miller,Arkansas,448899,11452
Mississippi,Arkansas,769121,16463
Monroe,Arkansas,52957,1801
Montgomery,Arkansas,26435,855
Nevada,Arkansas,72797,1966
Newton,Arkansas,14097,602
Ouachita,Arkansas,310613,7777
Perry,Arkansas,23962,793
Phillips,Arkansas,128072,3908
Pike,Arkansas,62310,2061
Poinsett,Arkansas,121383,3765
Polk,Arkansas,153748,4956
Pope,Arkansas,948340,23129
Prairie,Arkansas,29088,938
Pulaski,Arkansas,10591641,212795
Randolph,Arkansas,104751,3591
St. Francis,Arkansas,171071,5564
Saline,Arkansas,731310,22430
Scott,Arkansas,62165,2054
Searcy,Arkansas,38367,1122
Sebastian,Arkansas,2453421,61951
Sevier,Arkansas,124347,3755
Sharp,Arkansas,68248,2650
Stone,Arkansas,54145,2060
Union,Arkansas,890290,15702
Van Buren,Arkansas,123342,3303
Washington,Arkansas,3928143,91980
White,Arkansas,779716,22461
Woodruff,Arkansas,41819,1145
Yell,Arkansas,164015,4925
Alameda,California,51985434,698915
Alpine,California,8855,521
Amador,California,322707,8205
Butte,California,2592281,63965
Calaveras,California,236580,6375
Colusa,California,181095,4055
Contra Costa,California,23960119,340960
Del Norte,California,139160,4074
El Dorado,California,2300251,46655
Fresno,California,11841989,270631
Glenn,California,256939,4944
Humboldt,California,1366368,35465
Imperial,California,1165728,32846
Inyo,California,211129,5190
Kern,California,9024948,197072
Kings,California,1068151,26315
Lake,California,407417,9951
Lassen,California,134114,3480
Los Angeles,California,235841957,3869073
Madera,California,1216841,27141
Marin,California,7392513,101704
Mariposa,California,87817,2528
Mendocino,California,926856,23683
Merced,California,1776766,46063
Modoc,California,45228,1137
Mono,California,226382,7036
Monterey,California,5533432,116241
Napa,California,3588207,64285
Nevada,California,1230985,29483
Orange,California,91976053,1531111
Placer,California,8300548,155719
Plumas,California,178647,3788
Riverside,California,24661871,594454
Sacramento,California,28219067,493415
San Benito,California,623128,12948
San Bernardino,California,27459441,617828
San Diego,California,77600845,1291966
San Francisco,California,75901187,673488
San Joaquin,California,8815841,194835
San Luis Obispo,California,4350834,93500
San Mateo,California,52803235,399111
Santa Barbara,California,8503790,153488
Santa Clara,California,142931391,1084463
Santa Cruz,California,3991525,79641
Shasta,California,2143426,50673
Sierra,California,8054,188
Siskiyou,California,324406,8554
Solano,California,5997197,115426
Sonoma,California,9639136,177148
Stanislaus,California,6675130,145041
Sutter,California,970146,22670
Tehama,California,538788,12513
Trinity,California,60871,1537
Tulare,California,3949277,97726
Tuolumne,California,542100,12741
Ventura,California,14565661,264123
Yolo,California,3299921,67490
Yuba,California,471655,10096
Adams,Colorado,8691185,177876
Alamosa,Colorado,210548,5699
Arapahoe,Colorado,19177363,300423
Archuleta,Colorado,117769,3802
Baca,Colorado,18241,522
Bent,Colorado,20988,558
Boulder,Colorado,10000041,156325
Broomfield,Colorado,3431456,47588
Chaffee,Colorado,225634,6349
Cheyenne,Colorado,34131,616
Clear Creek,Colorado,103953,2987
Conejos,Colorado,27471,799
Costilla,Colorado,10818,350
Crowley,Colorado,19958,521
Custer,Colorado,15745,505
Delta,Colorado,224812,6747
Denver,Colorado,29642980,460537
Dolores,Colorado,11324,273
Douglas,Colorado,6915988,114980
Eagle,Colorado,1397812,33753
Elbert,Colorado,120477,2786
El Paso,Colorado,11502712,246115
Fremont,Colorado,265996,8201
Garfield,Colorado,1009659,20168
Gilpin,Colorado,187158,4712
Grand,Colorado,279426,8987
Gunnison,Colorado,230012,7006
Hinsdale,Colorado,4540,116
Huerfano,Colorado,36837,1068
Jackson,Colorado,11753,312
Jefferson,Colorado,10040386,201782
Kiowa,Colorado,8567,276
Kit Carson,Colorado,65749,1909
Lake,Colorado,40463,1373
La Plata,Colorado,1017030,22488
Larimer,Colorado,6079199,128778
Las Animas,Colorado,102652,3131
Lincoln,Colorado,51602,1480
Logan,Colorado,185113,5177
Mesa,Colorado,2320307,53120
Mineral,Colorado,8310,193
Moffat,Colorado,161004,3458
Montezuma,Colorado,258913,6622
Montrose,Colorado,496241,12699
Morgan,Colorado,423587,9941
Otero,Colorado,145637,4266
Ouray,Colorado,46832,1208
Park,Colorado,53115,1587
Phillips,Colorado,42156,1054
Pitkin,Colorado,709520,17466
Prowers,Colorado,87383,2820
Pueblo,Colorado,2046032,50886
Rio Blanco,Colorado,116744,1938
Rio Grande,Colorado,92691,2638
Routt,Colorado,533291,14677
Saguache,Colorado,31831,1012
San Juan,Colorado,6602,222
San Miguel,Colorado,176097,5012
Sedgwick,Colorado,14183,455
Summit,Colorado,733898,22564
Teller,Colorado,229104,5982
Washington,Colorado,18877,503
Weld,Colorado,4653851,89229
Yuma,Colorado,97893,2540
Fairfield,Connecticut,33784838,421898
Hartford,Connecticut,30405023,462623
Litchfield,Connecticut,2255339,51887
Middlesex,Connecticut,3227803,62322
New Haven,Connecticut,17955135,338824
New London,Connecticut,5493860,106066
Tolland,Connecticut,1163737,27698
Windham,Connecticut,1299883,30789
Kent,Delaware,2168575,51337
New Castle,Delaware,17647033,274243
Sussex,Delaware,2793302,72300
Alachua,Florida,4261263,98120
Baker,Florida,185992,5782
Bay,Florida,2253586,62606
Bradford,Florida,141979,4400
Brevard,Florida,8782748,187628
Broward,Florida,35603588,718985
Calhoun,Florida,52610,1645
Charlotte,Florida,1388305,39076
Citrus,Florida,1109660,29891
Clay,Florida,1626688,44860
Collier,Florida,5939279,133058
Columbia,Florida,762651,19243
DeSoto,Florida,195964,5772
Dixie,Florida,48908,1468
Duval,Florida,23031200,457959
Escambia,Florida,4730267,111677
Flagler,Florida,613801,18893
Franklin,Florida,66765,2322
Gadsden,Florida,362308,8205
Gilchrist,Florida,60611,1817
Glades,Florida,37460,979
Gulf,Florida,70300,2324
Hamilton,Florida,86716,1793
Hardee,Florida,158388,4690
Hendry,Florida,243172,6407
Hernando,Florida,1228819,36277
Highlands,Florida,677259,20840
Hillsborough,Florida,31767789,616435
Holmes,Florida,49807,1730
Indian River,Florida,1825695,46563
Jackson,Florida,307965,9020
Jefferson,Florida,52934,1572
Lafayette,Florida,16990,586
Lake,Florida,3038003,85018
Lee,Florida,9544162,222810
Leon,Florida,4176304,100975
Levy,Florida,191525,6407
Liberty,Florida,29431,1112
Madison,Florida,95083,3063
Manatee,Florida,4171276,104551
Marion,Florida,3084259,84272
Martin,Florida,2360792,58917
Miami-Dade,Florida,50233357,1000931
Monroe,Florida,1124936,31065
Nassau,Florida,707237,18509
Okaloosa,Florida,2504822,60962
Okeechobee,Florida,254600,7291
Orange,Florida,35509428,757326
